descriptor,count
powdery,186
jasmin,148
camphoraceous,119
musky,106
hyacinth,103
geranium,95
clean,92
bland,90
lily,86
amber,85
caramelic,84
gassy,81
cooling,76
mild,69
natural,68
ambre,68
cortex,58
rummy,58
muguet,54
soapy,50
brown,49
lactonic,48
terpenic,48
rooty,47
cooked,46
lilac,46
sandalwood,46
estery,46
lavender,44
weedy,44
narcissus,43
fat,41
cedar,40
vanillin,40
raspberry,39
celery,39
bready,38
ozone,37
acidic,37
mentholic,37
mossy,37
plastic,36
chemical,36
clove,35
anise,34
juicy,34
hawthorn,33
bergamot,33
vetiver,33
orange blossom,33
licorice,32
jammy,31
marine,31
mimosa,31
orangeflower,30
peppery,30
sweaty,29
gardenia,29
ambergris,29
neroli,28
patchouli,28
tarry,28
watery,27
cinnamyl,27
orchid,27
tonka,27
cumin,27
dusty,26
fruit tropical fruit,25
meaty roasted meaty,25
rancid,24
nut skin,24
galbanum,24
camphor,24
lime,24
foliage,23
ammoniacal,23
maple,23
sulfur,23
tutti frutti,22
fusel,22
oil,22
rubbery,21
leather,21
alkane,21
earth,21
ylang,20
toasted,20
must,20
naphthyl,19
carnation,19
magnolia,19
fungal,19
spearmint,19
onion green onion,19
pepper bell pepper,19
coco,19
pepper,19
roast,19
rhubarb,18
violet leaf,18
almond bitter almond,18
fruit dried fruit,18
lily of the valley,18
resinous,18
walnut,18
blueberry,18
cloth laundered cloth,18
fir needle,18
seedy,17
mandarin,17
ambrette,17
tallow,17
greasy,17
currant bud black currant bud,17
bitter,16
apple green apple,16
yeasty,16
mustard,16
currant black currant,16
caramel,16
metal,16
coffee roasted coffee,16
fennel,15
rose red rose,15
petal,15
eucalyptus,15
passion fruit,15
nut,15
acid,15
wax,15
dirty,14
caraway,14
fried,14
thujonic,14
candy,14
sulfuraceous,14
petitgrain,13
humus,13
cyclamen,13
chrysanthemum,13
corn,13
eggy,13
sage clary sage,13
faint,13
flowery,13
beany,13
buchu,13
peppermint,13
mango,13
turpentine,13
privet,12
bois de rose,12
sugar,12
heliotrope,12
bacon,12
corn chip,12
sweat,12
onion cooked onion,12
whiskey,12
rosemary,12
oakmoss,12
fecal,11
peanut,11
wintergreen,11
tuberose,11
acetic,11
cotton candy,11
seaweed,11
basil,11
melon rind,10
peony,10
banana unripe banana,10
raw,10
ether,10
orange peel,10
incense,10
nasturtium,10
