label,positive_count,prevalence
apple,309,0.057402935166264164
balsamic,399,0.0741222366710013
citrus,396,0.0735649266208434
earthy,374,0.06947798625301876
ethereal,332,0.0616756455508081
fatty,610,0.11331971019877392
floral,1360,0.25264722273825
fresh,458,0.08508266765744009
fruity,1942,0.3607653724688835
green,1593,0.2959316366338473
herbal,986,0.18316923648523128
meaty,258,0.04792866431357979
mint,267,0.0496005944640535
musty,233,0.04328441389559725
nutty,342,0.06353334571800111
oily,532,0.0988296488946684
rose,394,0.07319338658740479
spicy,509,0.09455693851012446
sulfurous,329,0.0611183355006502
sweet,1259,0.2338844510496006
tropical,320,0.05944640535017648
vegetable,262,0.048671744380456995
waxy,454,0.08433958759056288
winey,238,0.044213263979193757
woody,821,0.15251718372654655
