source,stimulus,smiles,raw_labels,reason
goodscents,1003050-32-5,CC1CCCCC1NC(=O)c1c(F)c(F)c(F)c(F)c1F,cooling,no_mapped_labels
goodscents,10191-41-0,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,bland,no_mapped_labels
goodscents,10352-88-2,CCCC/C=C/C(=O)O,rancid,no_mapped_labels
goodscents,10482-53-8,C=CCCCCC/C=C\C/C=C\C/C=C\CC,costus,no_mapped_labels
goodscents,105657-89-4,CCC=CCC=CCC=CCCC(C)=O,shrimp,no_mapped_labels
goodscents,106-11-6,CCCCCCCCCCCCCCCCCC(=O)OCCOCCO,bland,no_mapped_labels
goodscents,106-31-0,CCCC(=O)OC(=O)CCC,butter,no_mapped_labels
goodscents,107-10-8,CCCN,ammoniacal,no_mapped_labels
goodscents,107-35-7,NCCS(=O)(=O)O,bland,no_mapped_labels
goodscents,107-85-7,CC(C)CCN,ammoniacal,no_mapped_labels
goodscents,1073606-36-6,CCCCC(CC)C(=O)OC(C)COCc1ccccc1,bland,no_mapped_labels
goodscents,108-38-3,Cc1cccc(C)c1,plastic,no_mapped_labels
goodscents,109-06-8,Cc1ccccn1,sweat,no_mapped_labels
goodscents,109-87-5,COCOC,chloroform,no_mapped_labels
goodscents,110-25-8,CCCCCCCC/C=C/CCCCCCCC(=O)N(C)CC(=O)O,bland,no_mapped_labels
goodscents,110-85-0,C1CNCCN1,ammoniacal,no_mapped_labels
goodscents,110-97-4,CC(O)CNCC(C)O,dead;ammonia;fish,no_mapped_labels
goodscents,111-41-1,NCCNCCO,ammonia;mild,no_mapped_labels
goodscents,111-42-2,OCCNCCO,fish;rotten;mild;ammonia,no_mapped_labels
goodscents,1119831-25-2,Cc1noc(C)c1Cn1cc(N2C(=O)CN(Cc3cccc(O)c3)C2=O)cn1,bland,no_mapped_labels
goodscents,112-63-0,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC,bland,no_mapped_labels
goodscents,112-92-5,CCCCCCCCCCCCCCCCCCO,bland,no_mapped_labels
goodscents,1126-61-0,C=CCc1ccc(O)c(O)c1,creosote;slight,no_mapped_labels
goodscents,1126-79-0,CCCCOc1ccccc1,anise;licorice,no_mapped_labels
