,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/10,/amdcpu/0/load/11,/amdcpu/0/load/12,/amdcpu/0/load/13,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/temperature/2,/amdcpu/0/voltage/0,/amdcpu/0/voltage/1,/amdcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core (Tctl/Tdie)","Core (SVI2 TFN)","SoC (SVI2 TFN)","Bus Speed"
09/07/2026 14:01:42,9.38,6.25,25,25,28.12,23.44,9.38,10.94,12.5,14.06,40.62,46.88,20.96,46.88,16.3082428,3980,823,4042,366,40.5,0.8040147,1.35,4042,1009,40.5,2.41453862,1.35,4042,1022.5,40.5,2.42691326,1.35,3918,406,39.25,0.9848185,1.26875,3918,485,39.25,1.093604,1.26875,3918,1650.5,39.25,3.60077786,1.26875,85.125,1.55,1.55,99.8092041
09/07/2026 14:01:44,25,10.77,26.15,24.62,14.06,7.81,48.44,42.19,26.56,20,18.75,21.88,23.85,48.44,16.5810833,2992,862,1752,518,17.5555553,1.20971441,1.275,3643,1064.5,36.5,2.634077,1.19375,3643,359.5,36.5,0.8720804,1.19375,3643,1609.5,36.5,3.463577,1.19375,3643,859.5,36.5,1.90784848,1.19375,1630,758.5,16.333334,1.74819052,1.19375,85.375,1.55,1.55,99.80915
09/07/2026 14:01:46,26.09,7.35,34.78,32.35,21.74,13.24,46.38,39.71,20.29,17.39,8.7,23.19,24.27,46.38,16.610445,3269,858,4017,485,40.25,1.13484693,1.3625,1785,1324.5,17.88889,3.12237215,1.3625,4017,623.5,40.25,1.44731164,1.3625,1785,1520.5,17.88889,3.32678,1.3625,3992,622,40,1.29181886,1.3625,4017,575.5,40.25,1.56441534,1.3625,85.5,1.55,1.55,99.80917
09/07/2026 14:01:48,25,12.5,23.44,40.62,23.44,18.75,43.75,43.75,7.81,12.5,6.25,9.38,22.27,43.75,16.5584431,3628,815,3992,690.5,40,1.71994913,1.3125,4017,1340.5,40.25,3.26730514,1.3375,4017,705,40.25,1.75014353,1.3375,1785,1510,17.88889,3.34847784,1.3375,4017,380.5,40.25,0.8377948,1.3375,3942,263,39.5,0.629743934,1.2875,85.375,1.55,1.55,99.80921
09/07/2026 14:01:50,13.85,7.69,9.23,13.85,4.62,12.31,27.69,21.54,10.77,18.46,21.54,30.77,16.03,30.77,14.4551239,3294,571,1797,347,18,1.00567365,1.3625,4042,343.5,40.5,1.13451147,1.3625,4042,533,40.5,1.6304189,1.35,1797,639.5,18,1.70922542,1.35,4042,584,40.5,1.86520672,1.3625,4042,976.5,40.5,2.944676,1.3625,85.125,1.55,1.55,99.8092
09/07/2026 14:01:52,12.5,9.38,4.69,0,25,17.19,26.56,6.25,18.75,17.46,14.29,25,14.75,26.56,14.8386459,2916,552,4042,448.5,40.5,1.37919188,1.3625,1797,167.5,18,0.39643985,1.3625,1785,719,17.88889,2.198555,1.35,1785,528.5,17.88889,1.65387952,1.35,4042,736,40.5,2.367837,1.35,4042,709.5,40.5,2.35047674,1.35,84.5,1.55,1.55,99.80919
09/07/2026 14:01:54,20.31,9.38,28.12,14.29,23.44,34.38,20.31,28.57,15.87,26.56,24.62,29.69,22.96,34.38,18.6973743,2531,985,1797,786,18,1.87388766,1.35625,4017,878,40.25,2.143899,1.36875,1785,998.5,17.88889,2.30502534,1.3625,1785,1104.5,17.88889,2.47879577,1.3625,1785,908,17.88889,2.32755733,1.3625,4017,1234.5,40.25,3.0211668,1.3625,84.25,1.55,1.55,99.80915
09/07/2026 14:01:56,21.88,18.75,14.06,12.5,15.62,32.81,17.19,10.94,12.5,21.88,18.75,14.06,17.58,32.81,16.3706646,2545,750,4042,900.5,40.5,2.40528679,1.35625,1797,471.5,18,0.9023287,1.35625,1797,1057.5,18,2.90304279,1.35625,1797,603,18,1.50541651,1.35625,1797,774.5,18,1.96383965,1.35625,4042,693,40.5,1.77544689,1.35625,84.375,1.55,1.55,99.80915
09/07/2026 14:01:58,39.06,12.5,35.94,18.75,37.5,23.44,50,18.75,25,14.06,23.44,18.75,26.43,50,20.9397354,3460,1091,3768,1047.5,37.75,2.561449,1.225,3768,1037,37.75,2.46691465,1.225,3768,1292,37.75,3.53086948,1.225,3768,1300.5,37.75,3.51785731,1.225,3793,930,38,2.2891643,1.225,1896,936.5,19,2.0974803,1.225,84.25,1.55,1.55,99.80923
