,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/10,/amdcpu/0/load/11,/amdcpu/0/load/12,/amdcpu/0/load/13,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/temperature/2,/amdcpu/0/voltage/0,/amdcpu/0/voltage/1,/amdcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core (Tctl/Tdie)","Core (SVI2 TFN)","SoC (SVI2 TFN)","Bus Speed"
09/08/2026 11:32:14,15.62,4.69,15.62,6.25,7.81,18.75,23.44,9.38,12.5,17.19,14.06,25,14.19,25,13.0898361,2920,462,1797,211.5,18,0.5815435,1.33125,4042,272,40.5,0.8040274,1.33125,4042,459.5,40.5,1.44112134,1.33125,1797,530,18,1.81250286,1.33125,4042,527,40.5,1.64321506,1.33125,1797,771,18,2.61467266,1.33125,75.37501,1.55,1.55,99.80918
09/08/2026 11:32:16,18.75,3.17,12.5,1.54,1.56,18.75,6.25,29.69,6.25,29.69,10.94,9.23,12.36,29.69,12.6164551,1971,442,1397,251.5,14,0.728954852,1.31875,1397,174,14,0.5166723,1.325,1397,369,14,1.14322424,1.325,1797,666,18,2.35638571,1.325,1797,628.5,18,2.12176633,1.325,4042,562.5,40.5,1.82087111,1.325,75.00001,1.55,1.55,99.80917
09/08/2026 11:32:18,6.25,4.69,6.25,1.56,7.81,12.5,42.19,4.69,7.81,4.69,18.75,29.69,12.24,42.19,13.1560144,3264,467,1797,163,18,0.368116468,1.3625,3862,116.5,40.5,0.287159,1.3625,1797,439,18,1.38712406,1.3625,4042,983.5,40.5,3.44128823,1.3625,4042,193.5,40.5,0.421875328,1.3625,4042,905.5,40.5,3.16197252,1.3625,75.50001,1.55,1.55,99.809166
09/08/2026 11:32:20,25,18.75,26.56,28.12,9.38,12.5,29.69,26.56,14.06,7.81,35.94,17.19,20.96,35.94,17.0629234,3668,734,4042,723,40.5,1.94947636,1.34375,1797,805,18,2.23215413,1.34375,4042,391,40.5,1.00693548,1.34375,4042,1085.5,40.5,3.486394,1.34375,4042,371,40.5,0.960831046,1.35625,4042,1026.5,40.5,3.1862967,1.35625,76.12501,1.55,1.55,99.8092041
09/08/2026 11:32:22,15.38,4.69,15.38,12.31,4.62,18.46,29.23,24.62,7.69,21.54,21.54,4.62,15.01,29.23,13.8654089,2949,541,1797,295,18,0.7648405,1.325,4042,580.5,40.5,1.77921963,1.325,1976,237.5,19.8,0.491612226,1.325,1797,1094.5,18,3.77786183,1.3,4042,501,40.5,1.40581465,1.3,4042,535,40.5,1.64257538,1.3,75.87501,1.55,1.55,99.80925
09/08/2026 11:32:24,1.56,4.69,9.38,0,10.94,10.94,7.81,20.31,0,31.25,37.5,1.56,11.33,37.5,12.9455233,2830,446,1318,123,14,0.301765144,1.3125,1737,130.5,18,0.344586581,1.31875,4042,343,40.5,1.059819,1.31875,1797,628.5,18,2.14426684,1.31875,4042,660.5,40.5,2.262666,1.31875,4042,791,40.5,2.6961956,1.31875,75.50001,1.55,1.55,99.80914
09/08/2026 11:32:26,9.38,6.15,9.38,10.94,3.12,25,14.06,10.45,10.94,23.44,17.19,6.25,12.19,25,12.746254,2344,448,1388,203.5,14,0.549657,1.33125,1397,346.5,14,1.08298492,1.33125,1397,475.5,14,1.51781952,1.33125,1797,544.5,18,1.87150586,1.3375,4042,691,40.5,2.314696,1.3375,4042,428.5,40.5,1.40838587,1.3375,75.12501,1.55,1.55,99.80922
09/08/2026 11:32:28,12.31,6.25,4.69,4.62,12.5,18.75,16.92,28.57,6.15,23.08,29.23,7.69,14.23,29.23,12.8466444,2298,450,1317,180.5,14,0.487226754,1.34375,1195,103,14,0.244948417,1.34375,1397,547,14,1.71205986,1.34375,1797,824,18,2.90971017,1.35625,4042,462.5,40.5,1.52088857,1.35625,4042,582.5,40.5,1.969864,1.35625,74.62501,1.55,1.55,99.80917
09/08/2026 11:32:30,7.81,1.54,14.06,3.08,0,9.23,20.31,18.75,3.12,21.54,18.75,23.44,11.8,23.44,12.68429,2014,445,1235,167,12.375,0.4475239,1.325,1235,209,12.375,0.5739091,1.325,1976,152.5,19.8,0.3668957,1.325,1797,671,18,2.39153218,1.34375,4042,571.5,40.5,1.93511057,1.34375,1797,899,18,3.034062,1.34375,74.37501,1.55,1.55,99.80915
