number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_resolved_parameters,state
0,0.2639270424956157,2026-09-12 02:28:42.309297,2026-09-12 02:36:46.324531,0 days 00:08:04.015234,0.7993292420985183,3.005575058716044,0.17254716573280354,7,19.030368381735816,300,1.2358382772306929e-05,0.0019517224641449498,0.6624074561769746,"{'n_estimators': 300, 'learning_rate': 0.17254716573280354, 'max_depth': 7, 'colsample_bytree': 0.7993292420985183, 'subsample': 0.6624074561769746, 'reg_alpha': 1.2358382772306929e-05, 'reg_lambda': 0.0019517224641449498, 'min_child_weight': 19.030368381735816, 'gamma': 3.005575058716044}",COMPLETE
1,0.2979614057993944,2026-09-12 02:36:46.340152,2026-09-12 02:57:04.824619,0 days 00:20:18.484467,0.9162213204002109,2.6237821581611893,0.010636066512540286,8,2.8145092716060645,600,1.8740223688836324e-05,0.008260808399079604,0.6849356442713105,"{'n_estimators': 600, 'learning_rate': 0.010636066512540286, 'max_depth': 8, 'colsample_bytree': 0.9162213204002109, 'subsample': 0.6849356442713105, 'reg_alpha': 1.8740223688836324e-05, 'reg_lambda': 0.008260808399079604, 'min_child_weight': 2.8145092716060645, 'gamma': 2.6237821581611893}",COMPLETE
2,0.2905040467621277,2026-09-12 02:57:04.840242,2026-09-12 03:09:42.543412,0 days 00:12:37.703170,0.569746930326021,0.9983689107917987,0.023927528765580644,6,14.447746112718688,400,0.0003668874895499185,0.19069966103000435,0.7168578594140873,"{'n_estimators': 400, 'learning_rate': 0.023927528765580644, 'max_depth': 6, 'colsample_bytree': 0.569746930326021, 'subsample': 0.7168578594140873, 'reg_alpha': 0.0003668874895499185, 'reg_lambda': 0.19069966103000435, 'min_child_weight': 14.447746112718688, 'gamma': 0.9983689107917987}",COMPLETE
3,0.2615475589867491,2026-09-12 03:09:42.559033,2026-09-12 03:20:59.195315,0 days 00:11:16.636282,0.8037724259507192,4.041986740582305,0.05898602410432694,3,26.690431824362527,500,2.8533901052402254e-06,55.51721685244721,0.6682096494749166,"{'n_estimators': 500, 'learning_rate': 0.05898602410432694, 'max_depth': 3, 'colsample_bytree': 0.8037724259507192, 'subsample': 0.6682096494749166, 'reg_alpha': 2.8533901052402254e-06, 'reg_lambda': 55.51721685244721, 'min_child_weight': 26.690431824362527, 'gamma': 4.041986740582305}",COMPLETE
4,0.2862289934399404,2026-09-12 03:20:59.210937,2026-09-12 03:32:14.103558,0 days 00:11:14.892621,0.7200762468698007,1.2938999080000846,0.013399060561509796,7,22.038218939289873,300,0.0029257577949824438,0.0014857392806279248,0.6488152939379115,"{'n_estimators': 300, 'learning_rate': 0.013399060561509796, 'max_depth': 7, 'colsample_bytree': 0.7200762468698007, 'subsample': 0.6488152939379115, 'reg_alpha': 0.0029257577949824438, 'reg_lambda': 0.0014857392806279248, 'min_child_weight': 22.038218939289873, 'gamma': 1.2938999080000846}",COMPLETE
5,0.27148710598656167,2026-09-12 03:32:14.119179,2026-09-12 03:48:13.796540,0 days 00:15:59.677361,0.7733551396716398,4.474136752138244,0.02544166090938368,6,24.42046084491142,600,6.1248068059259815,7.510418138777549,0.6739417822102108,"{'n_estimators': 600, 'learning_rate': 0.02544166090938368, 'max_depth': 6, 'colsample_bytree': 0.7733551396716398, 'subsample': 0.6739417822102108, 'reg_alpha': 6.1248068059259815, 'reg_lambda': 7.510418138777549, 'min_child_weight': 24.42046084491142, 'gamma': 4.474136752138244}",COMPLETE
6,0.2683176094481542,2026-09-12 03:48:13.812162,2026-09-12 03:57:38.198867,0 days 00:09:24.386705,0.5979914312095727,4.143687545759647,0.15826541904647565,3,2.516607127550296,500,0.0001893704954163131,0.08777815504719653,0.6180909155642152,"{'n_estimators': 500, 'learning_rate': 0.15826541904647565, 'max_depth': 3, 'colsample_bytree': 0.5979914312095727, 'subsample': 0.6180909155642152, 'reg_alpha': 0.0001893704954163131, 'reg_lambda': 0.08777815504719653, 'min_child_weight': 2.516607127550296, 'gamma': 4.143687545759647}",COMPLETE
7,0.28355935340194144,2026-09-12 03:57:38.214488,2026-09-12 04:07:26.717929,0 days 00:09:48.503441,0.5704621124873813,0.993578407670862,0.023200867504756827,6,13.826083091896752,300,3.325481267274215e-06,85.98737339212276,0.9208787923016158,"{'n_estimators': 300, 'learning_rate': 0.023200867504756827, 'max_depth': 6, 'colsample_bytree': 0.5704621124873813, 'subsample': 0.9208787923016158, 'reg_alpha': 3.325481267274215e-06, 'reg_lambda': 85.98737339212276, 'min_child_weight': 13.826083091896752, 'gamma': 0.993578407670862}",COMPLETE
8,0.28548589756364284,2026-09-12 04:07:26.733551,2026-09-12 04:10:48.601893,0 days 00:03:21.868342,0.8645035840204937,4.315517129377968,0.11506408247250169,7,1.4830392684568012,100,3.298470179752566e-06,0.061991000078022655,0.9085081386743783,"{'n_estimators': 100, 'learning_rate': 0.11506408247250169, 'max_depth': 7, 'colsample_bytree': 0.8645035840204937, 'subsample': 0.9085081386743783, 'reg_alpha': 3.298470179752566e-06, 'reg_lambda': 0.061991000078022655, 'min_child_weight': 1.4830392684568012, 'gamma': 4.315517129377968}",COMPLETE
9,0.2734684220047327,2026-09-12 04:10:48.617514,2026-09-12 04:21:49.512353,0 days 00:11:00.894839,0.6554911608578311,2.3610746258097466,0.026946865572417687,3,20.44187835249379,500,0.12800980864220765,1.5409457762881555,0.7300733288106989,"{'n_estimators': 500, 'learning_rate': 0.026946865572417687, 'max_depth': 3, 'colsample_bytree': 0.6554911608578311, 'subsample': 0.7300733288106989, 'reg_alpha': 0.12800980864220765, 'reg_lambda': 1.5409457762881555, 'min_child_weight': 20.44187835249379, 'gamma': 2.3610746258097466}",COMPLETE
10,,2026-09-12 04:21:49.527975,2026-09-12 04:28:42.324857,0 days 00:06:52.796882,0.9762904054253753,2.396475863679739,0.010181283131439643,8,3.9518049277217377,800,0.06787807462694867,0.018932906660686234,0.8182873120328862,,FAIL
